# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: C:\Users\You\Desktop\DE0_Default.csv
# Generated on: Thu Nov 15 18:13:42 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
FL_ADDRESS[15],Unknown,PIN_L7,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[14],Unknown,PIN_M1,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[13],Unknown,PIN_M2,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[12],Unknown,PIN_M3,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[11],Unknown,PIN_N1,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[10],Unknown,PIN_N2,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[9],Unknown,PIN_P2,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[8],Unknown,PIN_M4,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[7],Unknown,PIN_M8,2,B2_N1,3.3-V LVTTL,,,,
FL_ADDRESS[6],Unknown,PIN_N6,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[5],Unknown,PIN_N5,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[4],Unknown,PIN_N7,2,B2_N1,3.3-V LVTTL,,,,
FL_ADDRESS[3],Unknown,PIN_P6,2,B2_N1,3.3-V LVTTL,,,,
FL_ADDRESS[2],Unknown,PIN_P5,2,B2_N0,3.3-V LVTTL,,,,
FL_ADDRESS[1],Unknown,PIN_P7,2,B2_N1,3.3-V LVTTL,,,,
FL_BYTE_N,Unknown,PIN_AA1,2,B2_N1,3.3-V LVTTL,,,,
FL_CE_N,Unknown,PIN_N8,2,B2_N1,3.3-V LVTTL,,,,
FL_DATA[0],Unknown,PIN_R7,2,B2_N1,3.3-V LVTTL,,,,
FL_DATA[1],Unknown,PIN_P8,2,B2_N1,3.3-V LVTTL,,,,
FL_DATA[2],Unknown,PIN_R8,2,B2_N1,3.3-V LVTTL,,,,
FL_DATA[3],Unknown,PIN_U1,2,B2_N0,3.3-V LVTTL,,,,
FL_DATA[4],Unknown,PIN_V2,2,B2_N0,3.3-V LVTTL,,,,
FL_DATA[5],Unknown,PIN_V3,2,B2_N1,3.3-V LVTTL,,,,
FL_DATA[6],Unknown,PIN_W1,2,B2_N1,3.3-V LVTTL,,,,
FL_DATA[7],Unknown,PIN_Y1,2,B2_N1,3.3-V LVTTL,,,,
#FL_DATA[8],Unknown,PIN_T5,2,B2_N1,3.3-V LVTTL,,,,
#FL_DATA[9],Unknown,PIN_T7,2,B2_N1,3.3-V LVTTL,,,,
#FL_DATA[10],Unknown,PIN_T4,2,B2_N1,3.3-V LVTTL,,,,
#FL_DATA[11],Unknown,PIN_U2,2,B2_N0,3.3-V LVTTL,,,,
#FL_DATA[12],Unknown,PIN_V1,2,B2_N0,3.3-V LVTTL,,,,
#FL_DATA[13],Unknown,PIN_V4,2,B2_N1,3.3-V LVTTL,,,,
#FL_DATA[14],Unknown,PIN_W2,2,B2_N1,3.3-V LVTTL,,,,
FL_OE_N,Unknown,PIN_R6,2,B2_N1,3.3-V LVTTL,,,,
FL_RESET_N,Unknown,PIN_R1,2,B2_N0,3.3-V LVTTL,,,,
FL_RY,Unknown,PIN_M7,2,B2_N0,3.3-V LVTTL,,,,
FL_WE_N,Unknown,PIN_P4,2,B2_N0,3.3-V LVTTL,,,,
FL_WP_N,Unknown,PIN_T3,2,B2_N1,3.3-V LVTTL,,,,

